Seed,Task,Model,Popsize,Generations,Mutation_rate,Selection_strength,adaptation_rate,richness,variance
1,157,Equal,25000,1e+05,0,0.1,0,1,0
1,158,Equal,50000,2e+05,0,0.1,0,1,0
1,159,Equal,75000,3e+05,0,0.1,0,1,0
1,160,Equal,1e+05,4e+05,0,0.1,0,1,0
1,161,Equal,500,2000,0,0.1,0,1,0
1,162,Equal,1000,4000,0,0.1,0,1,0
1,163,Equal,2500,10000,0,0.1,0,1,0
1,164,Equal,5000,20000,0,0.1,0,1,0
1,165,Equal,7500,30000,0,0.1,0,1,0
1,166,Equal,10000,40000,0,0.1,0,1,0
1,167,Equal,25000,1e+05,0,0.1,0,1,0
1,168,Equal,50000,2e+05,0,0.1,0,1,0
1,169,Equal,75000,3e+05,0,0.1,0,1,0
1,170,Equal,1e+05,4e+05,0,0.1,0,1,0
1,171,Equal,500,2000,0,0.1,0,1,0
1,172,Equal,1000,4000,0,0.1,0,1,0
1,173,Equal,2500,10000,0,0.1,0,1,0
1,174,Equal,5000,20000,0,0.1,0,1,0
1,175,Equal,7500,30000,0,0.1,0,1,0
1,176,Equal,10000,40000,0,0.1,0,1,0
1,177,Equal,25000,1e+05,0,0.1,0,1,0
1,178,Equal,50000,2e+05,0,0.1,0,1,0
1,179,Equal,75000,3e+05,0,0.1,0,1,0
1,180,Equal,1e+05,4e+05,0,0.1,0,1,0
1,181,Equal,500,2000,0,0.1,0,1,0
1,182,Equal,1000,4000,0,0.1,0,1,0
1,183,Equal,2500,10000,0,0.1,0,1,0
1,184,Equal,5000,20000,0,0.1,0,1,0
1,185,Equal,7500,30000,0,0.1,0,1,0
1,186,Equal,10000,40000,0,0.1,0,1,0
1,187,Equal,25000,1e+05,0,0.1,0,1,0
1,188,Equal,50000,2e+05,0,0.1,0,1,0
1,189,Equal,75000,3e+05,0,0.1,0,1,0
1,190,Equal,1e+05,4e+05,0,0.1,0,1,0
1,191,Equal,500,2000,0,0.1,0,1,0
1,192,Equal,1000,4000,0,0.1,0,1,0
1,193,Equal,2500,10000,0,0.1,0,1,0
