Mean,Max,Min,Generation,Model
537.1492,555.947,512.937,27900,Equal
538.37375,557.142,514.021,28000,Equal
539.56435,557.85,515.474,28100,Equal
540.62835,558.501,517.055,28200,Equal
541.6366,559.33,518.128,28300,Equal
542.8088,560.562,519.484,28400,Equal
544.07885,562.206,521.126,28500,Equal
545.2709,563.272,522.49,28600,Equal
546.4333,564.693,523.51,28700,Equal
547.6538,566.282,524.279,28800,Equal
548.95395,567.454,525.467,28900,Equal
550.2874,568.183,526.708,29000,Equal
551.5654,568.878,528.122,29100,Equal
552.85915,569.849,529.636,29200,Equal
554.08165,571.009,530.723,29300,Equal
555.2749,572.414,531.588,29400,Equal
556.3146,573.18,532.452,29500,Equal
557.39235,574.835,533.311,29600,Equal
558.52715,575.953,534.184,29700,Equal
559.6854,577.371,534.836,29800,Equal
560.82455,578.344,535.382,29900,Equal
562.04305,579.534,535.979,30000,Equal
563.22575,580.689,536.876,30100,Equal
564.4356,581.548,537.878,30200,Equal
565.6432,583.425,538.9,30300,Equal
566.80065,584.802,540.199,30400,Equal
568.03035,587.076,540.653,30500,Equal
569.16835,588.71,541.337,30600,Equal
570.3933,589.939,542.791,30700,Equal
571.65765,591.067,544.618,30800,Equal
573.01845,592.511,546.577,30900,Equal
574.2565,593.858,547.729,31000,Equal
575.5233,595.564,549.116,31100,Equal
576.7518,597.487,550.775,31200,Equal
577.93435,598.36,553.215,31300,Equal
579.1449,599.297,555.581,31400,Equal
580.29735,600.037,556.675,31500,Equal
581.5035,601.02,557.38,31600,Equal
582.8308,602.222,558.318,31700,Equal
584.17965,603.763,559.173,31800,Equal
585.312,605.208,559.607,31900,Equal
586.60995,606.512,560.502,32000,Equal
587.9104,607.913,561.426,32100,Equal
589.05945,608.596,562.427,32200,Equal
590.33475,609.794,563.928,32300,Equal
591.62185,611.399,565.343,32400,Equal
592.92205,613.005,566.467,32500,Equal
594.00875,614.417,567.601,32600,Equal
595.0658,616.119,568.35,32700,Equal
